bfs_id,municipalityLabel,lat,lon
159,Uetikon am See,47.266944444444,8.6772222222222
160,Zumikon,47.332777777778,8.6238888888889
161,Zollikon,47.342222222222,8.5783333333333
161,Zollikon,47.342222222222,8.5783333333333
1630,Glarus Nord,47.099166666667,9.0630527777778
1630,Glarus Nord,47.099166666667,9.0630527777778
1631,Glarus Süd,46.994436111111,9.0741638888889
1632,Glarus,47.033055555556,9.0663888888889
1632,Glarus,47.033055555556,9.0663888888889
1701,Baar,47.195555555556,8.5263888888889
1701,Baar,47.195555555556,8.5263888888889
1702,Cham,47.180277777778,8.4594444444444
1702,Cham,47.180277777778,8.4594444444444
1703,Hünenberg,47.176111111111,8.4263888888889
1704,Menzingen,47.180277777778,8.5916666666667
1705,Neuheim,47.206666666667,8.5777777777778
1706,Oberägeri,47.135833333333,8.6136111111111
1707,Risch,47.141111111111,8.4313888888889
1707,Risch,47.141111111111,8.4313888888889
1708,Steinhausen,47.196944444444,8.4861111111111
1708,Steinhausen,47.196944444444,8.4861111111111
1709,Unterägeri,47.138611111111,8.5844444444444
1710,Walchwil,47.099722222222,8.5163888888889
1711,Zug,47.168055555556,8.5169444444444
1711,Zug,47.168055555556,8.5169444444444
172,Fehraltorf,47.386111111111,8.7547222222222
173,Hittnau,47.37,8.8238888888889
176,Lindau,47.443055555556,8.6719444444444
177,Pfäffikon,47.366666666667,8.7822222222222
177,Pfäffikon,47.366666666667,8.7822222222222
178,Russikon,47.395277777778,8.7777777777778
180,Weisslingen,47.4325,8.7638888888889
181,Wila,47.418333333333,8.8491666666667
182,Wildberg,47.428611111111,8.8163888888889
191,Dübendorf,47.398055555556,8.6194444444444
191,Dübendorf,47.398055555556,8.6194444444444
192,Egg,47.301944444444,8.6905555555556
193,Fällanden,47.371666666667,8.64
193,Fällanden,47.36952,8.63558
194,Greifensee,47.366111111111,8.6786111111111
195,Maur,47.341666666667,8.6702777777778
196,Mönchaltorf,47.311388888889,8.7222222222222
197,Schwerzenbach,47.38182,8.65589
198,Uster,47.349166666667,8.7191666666667
198,Uster,47.349166666667,8.7191666666667
199,Volketswil,47.390555555556,8.6952777777778
199,Volketswil,47.390555555556,8.6952777777778
2,Affoltern am Albis,47.28167,8.45023
2,Affoltern am Albis,47.28167,8.45023
200,Wangen-Brüttisellen,47.411944444444,8.6463888888889
2008,Châtillon,46.833056,6.825833
2011,Cugy,46.814722,6.890833
2013,Domdidier,46.866667,7.011667
2016,Fétigny,46.796111,6.914444
2022,Gletterens,46.895,6.9375
2025,Lully,46.833333333333,6.8447222222222
2027,Ménières,46.782222,6.880833
2029,Montagny,46.810556,6.992222
2035,Nuvilly,46.7825,6.831111
2038,Prévondavaux,46.727778,6.793333
2041,Saint-Aubin,46.89,6.980556
2043,Sévaz,46.839167,6.875
2044,Surpierre,46.744444,6.861111
2045,Vallon,46.884722,6.953611
2050,Les Montets,46.816389,6.866944
2051,Delley-Portalban,46.913333,6.967778
2052,Vernay,46.883333333333,6.8833333333333
2053,Belmont-Broye,46.866665,7.011674
2054,Estavayer,46.850002777778,6.8472277777778
2055,Cheyres-Châbles,46.81063,6.78809
2061,Auboranges,46.583333333333,6.8
2063,Billens-Hennens,46.683333333333,6.9
2066,Chapelle,46.583333333333,6.8333333333333
2067,Le Châtelard,46.683333333333,6.9833333333333
2068,Châtonnaye,46.75,6.9333333333333
2072,Ecublens,46.61534,6.80704
2079,Grangettes,46.683333333333,6.9666666666667
2086,Massonnens,46.7,6.9666666666667
